kind	filename	source_category	relative_path	url	bytes	sha256	valid
metadata	catalog-export-297910580.json		metadata/catalog-export-297910580.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910580.json	4255	adfcb3f617886c922172d76fc2f94d303ce9268b57667024012fcf93f8cb5515	True
metadata	catalog-export-297910582.json		metadata/catalog-export-297910582.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910582.json	4120	850864e13696966deccce318b34dffaff16567c6bcda07cb55d87db1a05e3efe	True
metadata	catalog-export-297910584.json		metadata/catalog-export-297910584.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910584.json	4090	49e2d0996a658c86ebcb69a01cd39489b4b13c3b2bf02aa5eaba1f9468dd19d4	True
metadata	catalog-export-297910586.json		metadata/catalog-export-297910586.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910586.json	3902	a26e4dca70b0f6c75a16d99517b62b38d46ee1c22217b0945864528ccaa32269	True
metadata	catalog-export-297910588.json		metadata/catalog-export-297910588.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910588.json	3902	1c31a3eb6abac0b347269f16780ac22283d0496a4969718d7a386dfc480bcd7d	True
metadata	catalog-export-297910590.json		metadata/catalog-export-297910590.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910590.json	3902	142b12d36118692512bd09c8945094cc5283a47c4e362e87160535806bd84849	True
metadata	catalog-export-297910592.json		metadata/catalog-export-297910592.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910592.json	3902	724234c20bb087c968f3019c9f53214a4d298a4acff87339b0111730038c31e0	True
metadata	catalog-export-297910594.json		metadata/catalog-export-297910594.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910594.json	3889	35e93b14a78e6cb91bc454424bbe934ac1ea2680a39e58c5a054f652b622ea43	True
metadata	catalog-export-297910596.json		metadata/catalog-export-297910596.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910596.json	3889	c6650246764cbec6f8bd73d0ea76bdd570c9de1ed7b8cce0d5860274bea4b8ac	True
metadata	catalog-export-297910598.json		metadata/catalog-export-297910598.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910598.json	3902	f1031e0f540b5de133d8cb3b1e820f0f72e774d7759e8956aefe832291ba8b96	True
metadata	catalog-export-297910600.json		metadata/catalog-export-297910600.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910600.json	3902	0f03145ee5ffa95c05da0f62a7bf35859d31c65609f356f19d2c10114a71d9d6	True
metadata	catalog-export-297910602.json		metadata/catalog-export-297910602.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910602.json	3902	b4c538708875c39e36e0545d87154f08d514869cd9cb6d0c24ac66cbaeb2197e	True
metadata	catalog-export-297910606.json		metadata/catalog-export-297910606.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910606.json	4117	633e2592141831f7173ab63800591594b4365f30b87c5d2415b16d24c9e50538	True
metadata	catalog-export-297910608.json		metadata/catalog-export-297910608.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910608.json	4117	12c63c1b21d939f22501bfb3d9c987dbc308404e75d0e442ec9bebf5f4720d5a	True
metadata	catalog-export-297910668.json		metadata/catalog-export-297910668.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910668.json	4302	1f8da112be07654c2e914a85f50970c5c69a012534f8e8d3f66a9e18ab3372ba	True
metadata	catalog-export-297910670.json		metadata/catalog-export-297910670.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910670.json	4272	e518557d15fb9c02232d2a4e0219947d2fdb226e6fcadecc9dc8691b30a1a432	True
metadata	catalog-export-297910672.json		metadata/catalog-export-297910672.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910672.json	3932	8e8b698f172f5e52ad7da2500a5d9dcdb480851239578989921e35c5457afce4	True
metadata	catalog-export-297910674.json		metadata/catalog-export-297910674.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910674.json	3945	3326628a5ba895a78fdd08550b6f6828b02932a24b5cd9ad34c3fc405a9c7255	True
metadata	catalog-export-297910676.json		metadata/catalog-export-297910676.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910676.json	3945	a44580765717a1f26a0f342a69ce0a80d0a122245bba0d6bebc0200af28ea53c	True
metadata	catalog-export-297910678.json		metadata/catalog-export-297910678.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910678.json	3945	5b742acb2ef6eb67d480e3b42fc69755e6b564fec4a01bd47e5cff7a34115d6b	True
metadata	catalog-export-297910680.json		metadata/catalog-export-297910680.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910680.json	4109	ed7b9069f89b13a81737a8cde2cb7d4d559da1eeb1d055e1d5ebf85ef112b160	True
metadata	catalog-export-297910682.json		metadata/catalog-export-297910682.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910682.json	4109	4a90fe897f893335f8e9be068e1507dfb08d93ce89fac7698e3f07b7270e5f1b	True
metadata	catalog-export-297910684.json		metadata/catalog-export-297910684.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910684.json	4109	adcf5bf875247381887f0bab186bad81cc689eb31ca16f8e4ecbf22f661093c2	True
metadata	catalog-export-297910686.json		metadata/catalog-export-297910686.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910686.json	4109	3d318c15451725ba371e28a2cc409b6da425f0ec02d97ead6a0dc62730c3893a	True
metadata	catalog-export-297910688.json		metadata/catalog-export-297910688.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910688.json	4109	90bcdac753f32fbcb4ccca42d4960bb1c7937bac660e570064179f8ae0e986a8	True
metadata	catalog-export-297910690.json		metadata/catalog-export-297910690.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910690.json	4109	79dcca28d86a8dba9e33260b67726a5c7c78a0e02fcb092db5161d0c808a5e9a	True
