status	document_id	bytes	sha256	relative_path	title	category	url
existing	18693	144683	97743c7b845c465a088a560914c611e19138673ae4bdd72fd6ada818eb93eff6	documents/18693-et-contact-the-implications-theodore-loder.pdf	ET Contact: The Implications — Theodore Loder	Related Papers	https://drstevengreer.com/wp-content/uploads/2022/06/MUFON-Loder-Final-2011.pdf
existing	18637	19128	a697fca1e5949dfd096f409c15e3fc949938305d17ecb64c71b4a0fc05722210	documents/18637-exopolitics-or-xenopolitics.pdf	Exopolitics Or Xenopolitics?	Dr Greer's Papers	https://drstevengreer.com/wp-content/uploads/2022/06/ExopoliticsOrXenopolitics.pdf
existing	18633	138972	8ade891f6dcee8a954ca2915a3f3c1f2d63c5239b9c3023d9f89f0b993c9e668	documents/18633-extraterrestrials-and-the-new-cosmology.pdf	Extraterrestrials and the New Cosmology	Dr Greer's Papers	https://drstevengreer.com/wp-content/uploads/2022/06/ETandNewCosmology.pdf
existing	18639	199469	8bb7e3c11ff65731a2cc08e3c4f4854df8553282bd9cbf8be80b7435cb6ec3e9	documents/18639-fbi-tesla.pdf	FBI Tesla		https://drstevengreer.com/wp-content/uploads/2022/06/FBI-Tesla.pdf
existing	18641	251162	9983137e13d3fb35735c84ef7b28186d1fb4c00e91d19d43c8851f61a94b4aba	documents/18641-genetics-society-of-america-2006.pdf	Genetics Society of America 2006		https://drstevengreer.com/wp-content/uploads/2022/06/Genetics-Society-of-America-2006.pdf
existing	18643	251162	9983137e13d3fb35735c84ef7b28186d1fb4c00e91d19d43c8851f61a94b4aba	documents/18643-genetics-society-of-america-2006-1.pdf	Genetics Society of America 2006 1		https://drstevengreer.com/wp-content/uploads/2022/06/Genetics-Society-of-America-2006-1.pdf
existing	18645	96804	a85db42dd4985a60efc266ad962884de98d1a1f7260e39abd3abf01246c21aea	documents/18645-going-tactical.pdf	Going Tactical	Dr Greer's Papers	https://drstevengreer.com/wp-content/uploads/2022/06/GoingTactical.pdf
existing	18649	310246	187262e75ee333a563f16968288607c195df9e954cc5c9dece67fbbe21539f19	documents/18649-griffin.pdf	Griffin		https://drstevengreer.com/wp-content/uploads/2022/06/Griffin.pdf
existing	18651	125931	05ac550c99d6fd02efa2e07ff2fcb4e2b9e917a812ba554efe51d702fcc728cb	documents/18651-guy-hottel-1950.pdf	Guy Hottel 1950		https://drstevengreer.com/wp-content/uploads/2022/06/Guy-Hottel-1950.pdf
existing	18653	366715	228d9080de163c2b7acd93f018fcbbef516044c4dec3d73d54412102fbdf70ed	documents/18653-haines-paper.pdf	haines paper		https://drstevengreer.com/wp-content/uploads/2022/06/haines-paper.pdf
existing	17402	8341	1587091a1d6b19b50add2310b856f6ed7cad394debab24957e69b53c0c88349f	documents/17402-hope.pdf	Hope	Dr Greer's Papers	https://drstevengreer.com/wp-content/uploads/2022/05/Hope.pdf
existing	18655	8341	1587091a1d6b19b50add2310b856f6ed7cad394debab24957e69b53c0c88349f	documents/18655-hope.pdf	Hope		https://drstevengreer.com/wp-content/uploads/2022/06/Hope.pdf
