status	retry_stage	kind	relative_path	url	error	failure_count	failed_at	next_retry_after	deferred_reason	stopped_at	stopped_reason
deferred	monthly	pdfs	pdfs/dod-manual-5110-04-volume-1-manual-for-written-material-correspondence-management.pdf	https://execsec.defense.gov/Portals/34/Documents/511004m_v1.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-10T07:12:07Z	2026-08-09T07:12:07Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/dodd-5122-05.pdf	https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodd/512205_dodd_2017.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-10T07:12:08Z	2026-08-09T07:12:08Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/dodi-5400-13.pdf	https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodi/540013p.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-10T07:12:08Z	2026-08-09T07:12:08Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/dr-sean-kirkpatrick.pdf	https://media.defense.gov/2022/Jul/20/2003039076/-1/-1/1/DR-SEAN-M-KIRKPATRICK-BIOGRAPHY.PDF	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-10T07:12:09Z	2026-08-09T07:12:09Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/elizondo-s-dod-ig-complaint.pdf	https://www.dropbox.com/s/cgqoaeore81lbxs/Luis%20Elizondo%20IG%20Complaint%20Redacted.pdf?dl=0	Unable to find page link for https://www.dropbox.com/s/cgqoaeore81lbxs/Luis%20Elizondo%20IG%20Complaint%20Redacted.pdf?dl=0	3	2026-07-10T07:12:19Z	2026-08-09T07:12:19Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/envelope-02-1954.pdf	https://documents.theblackvault.com/documents/ufos/Brazil/1954_ENVELOPE_02.pdf	Unable to find page link for https://documents.theblackvault.com/documents/ufos/Brazil/1954_ENVELOPE_02.pdf	3	2026-07-10T07:12:22Z	2026-08-09T07:12:22Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/executive-order-11652.pdf	https://www.cia.gov/library/readingroom/docs/CIA-RDP80B01495R000200090013-0.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-10T07:12:23Z	2026-08-09T07:12:23Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/first-released.pdf	https://www.cia.gov/readingroom/docs/DOC_0000015274.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-10T07:12:28Z	2026-08-09T07:12:28Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/formal-complaint.pdf	https://www.dropbox.com/scl/fi/g2dy1prmro5kre3ukfxeo/Luis-Elizondo-IG-Complaint-Redacted.pdf?rlkey=hqn0iw0g5gdi4crs2h2e4eg6q&e=1&dl=0	Unable to find page link for https://www.dropbox.com/scl/fi/g2dy1prmro5kre3ukfxeo/Luis-Elizondo-IG-Complaint-Redacted.pdf?rlkey=hqn0iw0g5gdi4crs2h2e4eg6q&e=1&dl=0	3	2026-07-10T07:12:35Z	2026-08-09T07:12:35Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/inside-the-pentagon-s-release-of-three-ufo-videos-19.pdf	https://adlnet.gov/uploads/SF298%20Final%20Report%20SenSe.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-10T07:12:40Z	2026-08-09T07:12:40Z	previous download failed; waiting before retry		
